id_scenariusza,srodowisko,predkosc,ladunek,niepewnosc,nowosc_sytuacji,gestosc_ludzi,okluzja,pewnosc_ai,prawdopodobienstwo_incydentu,ciezkosc_skutku,ryzyko_bazowe
S001,odseparowane,niska,lekki,niska,znane,0.05,0.1,0.887,0.1072,0.37,0.0397
S002,odseparowane,niska,lekki,niska,rzadkie,0.05,0.1,0.782,0.1412,0.37,0.0523
S003,odseparowane,niska,lekki,srednia,znane,0.05,0.1,0.739,0.1457,0.37,0.0539
S004,odseparowane,niska,lekki,srednia,rzadkie,0.05,0.1,0.634,0.1894,0.37,0.0701
S005,odseparowane,niska,lekki,wysoka,znane,0.05,0.1,0.563,0.2054,0.37,0.076
S006,odseparowane,niska,lekki,wysoka,rzadkie,0.05,0.1,0.458,0.2615,0.37,0.0968
S007,odseparowane,niska,sredni,niska,znane,0.05,0.1,0.887,0.1072,0.466,0.0499
S008,odseparowane,niska,sredni,niska,rzadkie,0.05,0.1,0.782,0.1412,0.466,0.0658
S009,odseparowane,niska,sredni,srednia,znane,0.05,0.1,0.739,0.1457,0.466,0.0679
S010,odseparowane,niska,sredni,srednia,rzadkie,0.05,0.1,0.634,0.1894,0.466,0.0883
S011,odseparowane,niska,sredni,wysoka,znane,0.05,0.1,0.563,0.2054,0.466,0.0957
S012,odseparowane,niska,sredni,wysoka,rzadkie,0.05,0.1,0.458,0.2615,0.466,0.1219
S013,odseparowane,niska,ciezki,niska,znane,0.05,0.1,0.887,0.1072,0.5684,0.0609
S014,odseparowane,niska,ciezki,niska,rzadkie,0.05,0.1,0.782,0.1412,0.5684,0.0803
S015,odseparowane,niska,ciezki,srednia,znane,0.05,0.1,0.739,0.1457,0.5684,0.0828
S016,odseparowane,niska,ciezki,srednia,rzadkie,0.05,0.1,0.634,0.1894,0.5684,0.1076
S017,odseparowane,niska,ciezki,wysoka,znane,0.05,0.1,0.563,0.2054,0.5684,0.1167
S018,odseparowane,niska,ciezki,wysoka,rzadkie,0.05,0.1,0.458,0.2615,0.5684,0.1487
S019,odseparowane,srednia,lekki,niska,znane,0.05,0.1,0.887,0.1666,0.484,0.0806
S020,odseparowane,srednia,lekki,niska,rzadkie,0.05,0.1,0.782,0.215,0.484,0.1041
S021,odseparowane,srednia,lekki,srednia,znane,0.05,0.1,0.739,0.2211,0.484,0.107
S022,odseparowane,srednia,lekki,srednia,rzadkie,0.05,0.1,0.634,0.2801,0.484,0.1356
S023,odseparowane,srednia,lekki,wysoka,znane,0.05,0.1,0.563,0.3009,0.484,0.1456
