id_scenariusza,polityka,tryb,interwencja_operatora,czas_decyzji_s,ryzyko_bazowe,ryzyko_resztkowe,redukcja_wzgledna,pewnosc_ai,srodowisko,predkosc,ladunek,niepewnosc,nowosc_sytuacji
S001,Brak HITL,autonomia,False,1.8,0.0397,0.0397,0.0,0.887,odseparowane,niska,lekki,niska,znane
S001,HITL informacyjny,monitorowanie,False,1.8,0.0397,0.0397,0.0,0.887,odseparowane,niska,lekki,niska,znane
S001,Prawo weta operatora,weto,False,1.8,0.0397,0.0397,0.0,0.887,odseparowane,niska,lekki,niska,znane
S001,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0397,0.0397,0.0,0.887,odseparowane,niska,lekki,niska,znane
S001,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0397,0.0397,0.0,0.887,odseparowane,niska,lekki,niska,znane
S002,Brak HITL,autonomia,False,1.8,0.0523,0.0523,0.0,0.782,odseparowane,niska,lekki,niska,rzadkie
S002,HITL informacyjny,monitorowanie,False,1.8,0.0523,0.0523,0.0,0.782,odseparowane,niska,lekki,niska,rzadkie
S002,Prawo weta operatora,weto,False,1.8,0.0523,0.0523,0.0,0.782,odseparowane,niska,lekki,niska,rzadkie
S002,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0523,0.0523,0.0,0.782,odseparowane,niska,lekki,niska,rzadkie
S002,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0523,0.0523,0.0,0.782,odseparowane,niska,lekki,niska,rzadkie
S003,Brak HITL,autonomia,False,1.8,0.0539,0.0539,0.0,0.739,odseparowane,niska,lekki,srednia,znane
S003,HITL informacyjny,monitorowanie,False,1.8,0.0539,0.0539,0.0,0.739,odseparowane,niska,lekki,srednia,znane
S003,Prawo weta operatora,weto,False,1.8,0.0539,0.0539,0.0,0.739,odseparowane,niska,lekki,srednia,znane
S003,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0539,0.0539,0.0,0.739,odseparowane,niska,lekki,srednia,znane
S003,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0539,0.0539,0.0,0.739,odseparowane,niska,lekki,srednia,znane
S004,Brak HITL,autonomia,False,1.8,0.0701,0.0701,0.0,0.634,odseparowane,niska,lekki,srednia,rzadkie
S004,HITL informacyjny,monitorowanie,False,1.8,0.0701,0.0701,0.0,0.634,odseparowane,niska,lekki,srednia,rzadkie
S004,Prawo weta operatora,weto,False,1.8,0.0701,0.0701,0.0,0.634,odseparowane,niska,lekki,srednia,rzadkie
S004,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0701,0.0701,0.0,0.634,odseparowane,niska,lekki,srednia,rzadkie
S004,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.0701,0.0701,0.0,0.634,odseparowane,niska,lekki,srednia,rzadkie
S005,Brak HITL,autonomia,False,1.8,0.076,0.076,0.0,0.563,odseparowane,niska,lekki,wysoka,znane
S005,HITL informacyjny,monitorowanie,False,1.8,0.076,0.076,0.0,0.563,odseparowane,niska,lekki,wysoka,znane
S005,Prawo weta operatora,weto,False,1.8,0.076,0.076,0.0,0.563,odseparowane,niska,lekki,wysoka,znane
S005,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.076,0.076,0.0,0.563,odseparowane,niska,lekki,wysoka,znane
S005,Adaptacyjny HITL,ryzyko plus niepewność,False,1.8,0.076,0.076,0.0,0.563,odseparowane,niska,lekki,wysoka,znane
S006,Brak HITL,autonomia,False,1.8,0.0968,0.0968,0.0,0.458,odseparowane,niska,lekki,wysoka,rzadkie
S006,HITL informacyjny,monitorowanie,False,1.8,0.0968,0.0968,0.0,0.458,odseparowane,niska,lekki,wysoka,rzadkie
S006,Prawo weta operatora,weto,False,1.8,0.0968,0.0968,0.0,0.458,odseparowane,niska,lekki,wysoka,rzadkie
S006,Zatwierdzenie przed ruchem,akceptacja,True,13.8,0.0968,0.0497,0.487,0.458,odseparowane,niska,lekki,wysoka,rzadkie
S006,Adaptacyjny HITL,ryzyko plus niepewność,True,10.3,0.0968,0.0544,0.4384,0.458,odseparowane,niska,lekki,wysoka,rzadkie
S007,Brak HITL,autonomia,False,1.8,0.0499,0.0499,0.0,0.887,odseparowane,niska,sredni,niska,znane
S007,HITL informacyjny,monitorowanie,False,1.8,0.0499,0.0499,0.0,0.887,odseparowane,niska,sredni,niska,znane
S007,Prawo weta operatora,weto,False,1.8,0.0499,0.0499,0.0,0.887,odseparowane,niska,sredni,niska,znane
S007,Zatwierdzenie przed ruchem,akceptacja,False,1.8,0.0499,0.0499,0.0,0.887,odseparowane,niska,sredni,niska,znane
